UNITID,INSTNM,ADDR,CITY,STABBR,ZIP,FIPS,OBEREG,CHFNM,CHFTITLE,GENTELE,FAXTELE,EIN,OPEID,OPEFLAG,WEBADDR,ADMINURL,FAIDURL,APPLURL,NPRICURL,SECTOR,ICLEVEL,CONTROL,HLOFFER,UGOFFER,GROFFER,HDEGOFR1,DEGGRANT,HBCU,HOSPITAL,MEDICAL,TRIBAL,LOCALE,OPENPUBL,ACT,NEWID,DEATHYR,CLOSEDAT,CYACTIVE,POSTSEC,PSEFLAG,PSET4FLG,RPTMTH,IALIAS,INSTCAT,CCBASIC,CCIPUG,CCIPGRAD,CCUGPROF,CCENRPRF,CCSIZSET,CARNEGIE,LANDGRNT,INSTSIZE,CBSA,CBSATYPE,CSA,NECTA,F1SYSTYP,F1SYSNAM,F1SYSCOD,COUNTYCD,COUNTYNM,CNGDSTCD,LONGITUD,LATITUDE
100654,"Alabama A & M University","4900 Meridian Street","Normal","AL","35762", 1, 5,"Dr. Andrew Hugine, Jr.","President","2563725000","2563725030","636001109","00100200",1,"www.aamu.edu/","www.aamu.edu/admissions/pages/default.aspx","www.aamu.edu/Admissions/fincialaid/Pages/default.aspx","www.aamu.edu/Admissions/apply/Pages/default.aspx","galileo.aamu.edu/netpricecalculator/npcalc.htm",1,1,1,9,1,1,12,1,1,2,2,2,12,1,"A ",-2,-2,"-2",1,1,1,1,1,"AAMU",2,18,13,18,9,4,14,16,1,3,26620,1,290,-2,2," ","-2",1089,"Madison County",105,-86.568502,34.783368
100663,"University of Alabama at Birmingham","Administration Bldg Suite 1070","Birmingham","AL","35294-0110", 1, 5,"Ray L. Watts","President","2059344011","2059757114","636005396","00105200",1,"www.uab.edu","www.uab.edu/students/undergraduate-admissions","www.uab.edu/students/paying-for-college","ssb.it.uab.edu/pls/sctprod/zsapk003_ug_web_appl.create_page","www.collegeportraits.org/AL/UAB/estimator/agree",1,1,1,9,1,1,11,1,2,1,1,2,12,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,15,11,17,8,5,15,15,2,4,13820,1,142,-2,1,"The University of Alabama System","101050",1073,"Jefferson County",107,-86.809170,33.502230
100690,"Amridge University","1200 Taylor Rd","Montgomery","AL","36117-3553", 1, 5,"Michael Turner","President","33438770007528","3343873878","237034324","02503400",1,"www.amridgeuniversity.edu","www.amridgeuniversity.edu/au_admissions.html","www.amridgeuniversity.edu/au_financialaid.html","https://www.amridgeuniversity.edu/Amridge/login.aspx?ReturnUrl=%2fAmridge%2fStudent%2fFormChoice.aspx","tcc.noellevitz.com/(S(miwoihs5stz5cpyifh4nczu0))/Amridge%20University/Freshman-Students",2,1,2,9,1,1,11,1,2,2,2,2,12,1,"A ",-2,-2,"-2",1,1,1,1,1,"Southern Christian University |Regions University",2,21,11,13,6,5,6,51,2,1,33860,1,-2,-2,2," ","-2",1101,"Montgomery County",102,-86.174010,32.362609
100706,"University of Alabama in Huntsville","301 Sparkman Dr","Huntsville","AL","35899", 1, 5,"Robert A. Altenkirch","President","2568246120"," ","630520830","00105500",1,"www.uah.edu","admissions.uah.edu/","finaid.uah.edu/","register.uah.edu","finaid.uah.edu/",1,1,1,9,1,1,11,1,2,2,2,2,12,1,"A ",-2,-2,"-2",1,1,1,1,1,"UAH |University of Alabama Huntsville",2,15,14,17,8,4,12,16,2,3,26620,1,290,-2,1,"The University of Alabama System","101050",1089,"Madison County",105,-86.638420,34.722818
100724,"Alabama State University","915 S Jackson Street","Montgomery","AL","36104-0271", 1, 5,"Gwen Boyd","President","3342294400","3348346861","636001101","00100500",1,"www.alasu.edu/email/index.aspx","www.alasu.edu/admissions/index.aspx","www.alasu.edu/cost-aid/index.aspx/","psadmin.alasu.edu:8501/psp/paprd_1/EMPLOYEE/HRMS/c/ASU_SS_NONID_MENU.ASU_SS_ONL_SECURE.GBL?PORTALPARAM_PTCNAV=ASU_LK_ONLINEAPP&EOPP.SCNode=EMP","www.alasu.edu/cost-aid/forms/calculator/index.aspx/",1,1,1,9,1,1,11,1,1,2,2,2,12,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,18,10,12,9,4,13,21,2,3,33860,1,-2,-2,2," ","-2",1101,"Montgomery County",107,-86.295677,32.364317
100733,"University of Alabama System Office","401 Queen City Ave","Tuscaloosa","AL","35401", 1, 5,"Robert Witt","Chancellor","2053489731","2053485206","636001138","00800400",2,"www.uasystem.ua.edu"," "," "," ","www.uasystem.ua.edu",0,1,1,9,1,1,11,1,2,2,-2,2,13,1,"A ",-2,-2,"-2",1,1,1,1,-2," ",-2,-3,-3,-3,-3,-3,-3,-3,2,-2,46220,1,-2,-2,1,"The University of Alabama System","101050",1125,"Tuscaloosa County",107,-87.560858,33.212525
100751,"The University of Alabama","739 University Blvd","Tuscaloosa","AL","35487-0166", 1, 5,"Dr. Judith L. Bonner","President","2053486010","2053487208","636001138","00105100",1,"www.ua.edu/","gobama.ua.edu","financialaid.ua.edu","apply.ua.edu","oira.ua.edu",1,1,1,9,1,1,11,1,2,2,2,2,13,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,16,14,15,10,4,16,15,2,5,46220,1,-2,-2,1,"The University of Alabama System","101050",1125,"Tuscaloosa County",107,-87.545766,33.214400
100760,"Central Alabama Community College","1675 Cherokee Rd","Alexander City","AL","35010", 1, 5,"Susan Burrow","President","2562346346","2562340384","631022757","00100700",1,"www.cacc.edu","www.cacc.edu/index.php?submenu=Admissions&src=gendocs&ref=Admissions&category=Admissions","www.cacc.edu/index.php?submenu=Financial_Aid&src=gendocs&ref=Financial%20Aid&category=Financial%20Aid"," ","www.cacc.edu/graphics/netpricecalculator/npcalc.htm",4,2,1,3,1,2,40,1,2,2,2,2,32,1,"A ",-2,-2,"-2",1,1,1,1,1," ",4,2,1,-1,3,1,2,40,2,2,-2,-2,-2,-2,1,"Alabama Community College System","101030",1123,"Tallapoosa County",103,-85.946530,32.924429
100812,"Athens State University","300 N Beaty St","Athens","AL","35611", 1, 5,"Robert Glenn","President","2562338100"," ","630701340","00100800",1,"www.athens.edu","www.athens.edu","www.athens.edu","www.athens.edu","24.athens.edu/apex/prod8/f?p=174:1:3941357449598491",1,1,1,5,1,2,30,1,2,2,2,2,31,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,22,12,-1,5,2,9,32,2,2,26620,1,290,-2,2," ","-2",1083,"Limestone County",105,-86.965140,34.805625
100830,"Auburn University at Montgomery","7440 East Drive","Montgomery","AL","36117-3596", 1, 5,"John G. Veres III","Chancellor","3342443000","3342443920","636000724","00831000",1,"www.aum.edu","www.aum.edu/admissions","www.aum.edu/admissions/financial-information/financial-aid","www.aum.edu/admissions/step-by-step-guide-to-apply","www.aum.edu/admissions/financial-information/price-estimator-calculator",1,1,1,9,1,1,12,1,2,2,2,2,12,1,"A ",-2,-2,"-2",1,1,1,1,1,"AUM|Auburn University Montgomery|Auburn University at Montgomery|Auburn Montgomery",2,18,13,6,8,4,12,21,2,3,33860,1,-2,-2,1,"Auburn University","101040",1101,"Montgomery County",102,-86.177351,32.369939
100858,"Auburn University","Auburn, Alabama","Auburn University","AL","36849", 1, 5,"Jay Gogue","President","3348444000"," ","636000724","00100900",1,"www.auburn.edu","www.auburn.edu/admissions/","www.auburn.edu/administration/business_office/finaid/","www.auburn.edu/admissions/","www.auburn.edu/admissions/money-matters.html",1,1,1,9,1,1,11,1,2,2,1,2,13,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,16,14,14,13,4,15,15,1,5,12220,1,194,-2,1,"Auburn University","101040",1081,"Lee County",103,-85.492409,32.600201
100937,"Birmingham Southern College","900 Arkadelphia Road","Birmingham","AL","35254", 1, 5,"General Charles Krulak","President","2052264600","2052263069","630708730","00101200",1,"www.bsc.edu/","www.bsc.edu/admission/index.cfm","www.bsc.edu/fa/index.cfm","www.bsc.edu/admission/apply.cfm","www.bsc.edu/fp/np-calculator.cfm",2,1,2,5,1,2,30,1,2,2,2,2,12,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,21,7,2,12,3,11,31,2,2,13820,1,142,-2,2," ","-2",1073,"Jefferson County",107,-86.853636,33.515453
101028,"Chattahoochee Valley Community College","2602 College Drive","Phenix City","AL","36869", 1, 5,"Dr. Glen Cannon","President","3342914900","3342144834","630657380","01218200",1,"www.cv.edu","www.cv.edu/?page_id=252","www.cv.edu/?page_id=142","www.cv.edu/wp-content/uploads/2011/12/admission_app.pdf","external.cv.edu/npc/npcalc.htm",4,2,1,3,1,2,40,1,2,2,2,2,41,1,"A ",-2,-2,"-2",1,1,1,1,1,"CVCC",4,2,1,-1,2,1,2,40,2,2,17980,1,194,-2,1,"Alabama Community College System","101030",1113,"Russell County",103,-85.031485,32.423910
101073,"Concordia College Alabama","1712 Broad Street","Selma","AL","36701", 1, 5,"Dr. Tilahun M.Mendedo","President","3348745700","3348745755","630389941","01055400",1,"www.ccal.edu/","www.ccal.edu/?q=admissions","www.ccal.edu/?q=financial-aid","www.ccal.edu/sites/default/files/admissions/admissions-home/application-admission-2012-2012.pdf","www.ccal.edu/netprice/netprice/",2,1,2,5,1,2,30,1,1,2,2,2,32,1,"A ",-2,-2,"-2",1,1,1,1,1,"CCA",2,22,15,-1,9,2,8,33,2,1,42820,2,-2,-2,2," ","-2",1047,"Dallas County",107,-87.023531,32.424430
101116,"South University-Montgomery","5355 Vaughn Rd","Montgomery","AL","36116", 1, 5,"Victor Biebighauser","President","3343958800"," ","261569113","01303906",1,"southuniversity.edu","southuniversity.edu","southuniversity.edu","southuniversity.edu","tcc.noellevitz.com/edmc/Transfer-Students?iframe=true&width=600&height=1000",3,1,3,7,1,1,20,1,2,-2,2,2,12,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,23,2,11,5,3,6,40,2,1,33860,1,-2,-2,1,"Education Management Corporation","301790",1101,"Montgomery County",102,-86.216488,32.342684
101143,"Enterprise State Community College","600 Plaza Drive","Enterprise","AL","36330-1300", 1, 5,"Nancy Chandler, Ed.D.","President","3343472623","3343936223","630504851","00101500",1,"www.escc.edu","www.escc.edu","www.escc.edu","https://grace.escc.edu/cgi-bin/admonline.mbr/login","www.escc.edu/NetPrice/npcalc.htm",4,2,1,3,1,2,40,1,2,2,2,2,32,1,"A ",-2,-2,"-2",1,1,1,1,1,"Enterprise-Ozark Community College  |Enterprise State Junior College",4,2,1,-1,3,1,3,40,2,2,21460,2,222,-2,1,"Alabama Community College System","101030",1031,"Coffee County",102,-85.836956,31.297496
101161,"James H Faulkner State Community College","1900 US Hwy 31 S","Bay Minette","AL","36507-2698", 1, 5,"Gary Branch","President","2515802100","2515802253","630501805","00106000",1,"www.faulknerstate.edu"," "," "," ","www.faulknerstate.edu",4,2,1,3,1,2,40,1,2,2,2,2,32,1,"A ",-2,-2,"-2",1,1,1,1,1," ",4,5,1,-1,3,1,3,40,2,2,19300,1,380,-2,1,"Alabama Community College System","101030",1003,"Baldwin County",101,-87.779758,30.852045
101189,"Faulkner University","5345 Atlanta Hwy","Montgomery","AL","36109-3378", 1, 5,"Billy D Hilyer","President","3342725820","3343867244","630329409","00100300",1,"www.faulkner.edu","www.faulkner.edu/admissions/","www.faulkner.edu/finaid/default.aspx","https://secure.faulkner.edu/profile/tradApp/default.aspx","www.faulkner.edu/netprice/",2,1,2,9,1,1,13,1,2,2,2,2,12,1,"A ",-2,-2,"-2",1,1,1,1,1,"Faulkner",2,22,16,8,7,4,9,32,2,2,33860,1,-2,-2,2," ","-2",1101,"Montgomery County",102,-86.216410,32.384181
101240,"Gadsden State Community College","1001 George Wallace Dr","Gadsden","AL","35903", 1, 5,"Dr. William O. Blow","Acting President","2565498200","2564396812","630501425","00101700",1,"www.gadsdenstate.edu","www.gadsdenstate.edu/faculty-and-staff/admissions.php","www.gadsdenstate.edu/current-students/financial-aid/index.php","https://ssb.gadsdenstate.edu/PROD/bwskalog.P_DispLoginNon","www.gadsdenstate.edu/netpricecalculator/",4,2,1,3,1,2,40,1,1,2,2,2,13,1,"A ",-2,-2,"-2",1,1,1,1,1,"GSCC | Gadsden State | Gadsden Community College",4,3,1,-1,3,1,4,40,2,3,23460,1,-2,-2,1,"Alabama Community College System","101030",1055,"Etowah County",104,-85.991299,33.991866